Stazioni;Data;T-MIN;T-MAX
Aprilia;27/05/2019;14,7;19,1
Aprilia;28/05/2019;15;20,4
Aprilia;29/05/2019;14,3;19
Aprilia;30/05/2019;12,6;20,6
Aprilia;31/05/2019;13,1;19,5
Ardea;01/05/2019;5,1;20,9
Ardea;02/05/2019;6,3;22,7
Ardea;03/05/2019;8,5;21,2
Ardea;04/05/2019;10,7;19,4
Ardea;05/05/2019;7,7;18,3
Ardea;06/05/2019;5,3;17,4
Ardea;07/05/2019;4,6;20,4
Ardea;08/05/2019;4,2;20
Ardea;09/05/2019;13,3;22,5
Ardea;10/05/2019;9,6;22,3
Ardea;11/05/2019;7,8;23,9
Ardea;12/05/2019;9,7;21,6
Ardea;13/05/2019;8;21,1
Ardea;14/05/2019;11,1;24
Ardea;15/05/2019;8,7;11,9
Ardea;16/05/2019;7,8;21,4
Ardea;17/05/2019;6,6;22
Ardea;18/05/2019;14,1;21,3
Ardea;19/05/2019;11,8;21,6
Ardea;20/05/2019;10;20,9
Ardea;21/05/2019;13;22,3
Ardea;22/05/2019;10,7;23,1
Ardea;23/05/2019;8,1;23,9
Ardea;24/05/2019;8,6;24,2
Ardea;25/05/2019;8,8;23,9
Ardea;26/05/2019;14,3;20,5
Ardea;27/05/2019;14,8;21,1
Ardea;28/05/2019;14,5;23,5
Ardea;29/05/2019;12,7;23,3
Ardea;30/05/2019;11,6;24,4
Ardea;31/05/2019;10,1;23,1
Arsoli;01/05/2019;5,9;16,8
Arsoli;02/05/2019;3,7;21,6
Arsoli;03/05/2019;3,3;20,4
Arsoli;04/05/2019;9,4;16
Arsoli;05/05/2019;4,4;14,3
Arsoli;06/05/2019;3,5;17,4
Arsoli;07/05/2019;0;19,3
Arsoli;08/05/2019;1,7;21,1
Arsoli;09/05/2019;8,6;22,1
Arsoli;10/05/2019;6,7;22,7
Arsoli;11/05/2019;5,9;23,1
Arsoli;12/05/2019;8,2;20,2
Arsoli;13/05/2019;6,5;17,3
Arsoli;14/05/2019;7,2;20
Arsoli;15/05/2019;6,1;11,6
Arsoli;16/05/2019;5,2;20,9
Arsoli;17/05/2019;5,7;21,8
Arsoli;18/05/2019;7,6;17,3
Arsoli;19/05/2019;9,5;14,1
Arsoli;20/05/2019;7,9;14,8
Arsoli;21/05/2019;10;15,7
Arsoli;22/05/2019;7,4;21,8
Arsoli;23/05/2019;8,3;22,5
Arsoli;24/05/2019;8,2;23,8
Arsoli;25/05/2019;8;22,3
Arsoli;26/05/2019;12;17
Arsoli;27/05/2019;11,7;18,9
Arsoli;28/05/2019;12,1;20,5
Arsoli;29/05/2019;10,1;17,7
Arsoli;30/05/2019;10,2;20,6
Arsoli;31/05/2019;9,2;23
Baccano;01/05/2019;6,5;22,9
Baccano;02/05/2019;3,7;22,5
Baccano;03/05/2019;9,5;19,4
Baccano;04/05/2019;9,7;19,1
Baccano;05/05/2019;6,3;13,5
Baccano;06/05/2019;5,1;18,7
Baccano;07/05/2019;4,3;20,9
Baccano;08/05/2019;1,6;18,5
Baccano;09/05/2019;8,3;21
Baccano;10/05/2019;7,1;25,7
Baccano;11/05/2019;5,1;22,4
Baccano;12/05/2019;10,2;20,4
Baccano;13/05/2019;10,1;21,4
Baccano;14/05/2019;7;21,9
Baccano;15/05/2019;5,9;9,1
Baccano;16/05/2019;5,5;22,2
Baccano;17/05/2019;3,6;20,1
Baccano;18/05/2019;10,4;18,4
Baccano;19/05/2019;11,5;17,6
Baccano;20/05/2019;7,8;17,5
Baccano;21/05/2019;11,2;18,2
Baccano;22/05/2019;9,1;20,5
Baccano;23/05/2019;7,3;25,7
Baccano;24/05/2019;8;23,2
Baccano;25/05/2019;9,2;22,4
Baccano;26/05/2019;12,4;17,5
Baccano;27/05/2019;12,9;19,1
Baccano;28/05/2019;12,7;21,4
Baccano;29/05/2019;10,7;18,2
Baccano;30/05/2019;10;21,5
Baccano;31/05/2019;10,6;27,2
Bagnoregio;01/05/2019;8,1;18,3
Bagnoregio;02/05/2019;7,7;20,3
Bagnoregio;03/05/2019;7,9;17,9
Bagnoregio;04/05/2019;8,3;15,8
Bagnoregio;05/05/2019;4,1;11,3
Bagnoregio;06/05/2019;3,6;12,1
Bagnoregio;07/05/2019;5,3;17,2
Bagnoregio;08/05/2019;6,7;16,3
Bagnoregio;09/05/2019;9,3;19,2
Bagnoregio;10/05/2019;9,5;20,6
Bagnoregio;11/05/2019;8,3;19,6
Bagnoregio;12/05/2019;7,6;16,2
Bagnoregio;13/05/2019;8,6;12,6
Bagnoregio;14/05/2019;4,5;13,5
Bagnoregio;15/05/2019;4,3;9
Bagnoregio;16/05/2019;4,5;19,2
Bagnoregio;17/05/2019;7,9;18,7
Bagnoregio;18/05/2019;9,8;15,5
Bagnoregio;19/05/2019;9,6;12,9
Bagnoregio;20/05/2019;8;16,2
Bagnoregio;21/05/2019;9,8;17,3
Bagnoregio;22/05/2019;9,4;17,5
Bagnoregio;23/05/2019;10,8;21,7
Bagnoregio;24/05/2019;9,8;21,9
Bagnoregio;25/05/2019;11,2;21,3
Bagnoregio;26/05/2019;10,8;15,4
Bagnoregio;27/05/2019;11,6;20,3
Bagnoregio;28/05/2019;11,7;18,4
Bagnoregio;29/05/2019;10,1;18
Bagnoregio;30/05/2019;9,5;19
Bagnoregio;31/05/2019;9,4;20,6
Barbarano;01/05/2019;8,8;18
Barbarano;02/05/2019;6,6;19,1
Barbarano;03/05/2019;10,7;18,3
Barbarano;04/05/2019;9,7;16,9
Barbarano;05/05/2019;5,4;13,7
