Stazioni;Data;T-MIN;T-MAX
Ardea;05/03/2019;4,6;18,3
Ardea;06/03/2019;4,1;19,1
Ardea;07/03/2019;8,7;19,7
Ardea;08/03/2019;8;18,4
Ardea;09/03/2019;3,9;18,5
Ardea;10/03/2019;10,1;15,4
Ardea;11/03/2019;6,1;17,4
Ardea;12/03/2019;1;15,7
Ardea;13/03/2019;-2,9;16,8
Ardea;14/03/2019;4,8;17,4
Ardea;15/03/2019;-0,2;18
Ardea;16/03/2019;6,7;19,8
Ardea;17/03/2019;6,1;18,4
Ardea;18/03/2019;7,5;16,7
Ardea;19/03/2019;5,6;16,3
Ardea;20/03/2019;5,7;19,3
Ardea;21/03/2019;6,2;23
Ardea;22/03/2019;4;22,4
Ardea;23/03/2019;2,4;21,1
Ardea;24/03/2019;1,5;20,7
Ardea;25/03/2019;3,1;18,9
Ardea;26/03/2019;5;20
Ardea;27/03/2019;4,7;19
Ardea;28/03/2019;0,7;19,1
Ardea;29/03/2019;0,5;20,1
Ardea;30/03/2019;0,1;19,1
Ardea;31/03/2019;0,5;19,3
Arsoli;01/03/2019;3;14,1
Arsoli;02/03/2019;3,1;21,5
Arsoli;03/03/2019;1,9;20,4
Arsoli;04/03/2019;0,2;18,4
Arsoli;05/03/2019;2,4;14,8
Arsoli;06/03/2019;0,7;19,7
Arsoli;07/03/2019;1,9;21
Arsoli;08/03/2019;3,9;19,1
Arsoli;09/03/2019;4,3;20,3
Arsoli;10/03/2019;1,2;12,5
Arsoli;11/03/2019;6;16,7
Arsoli;12/03/2019;-;-
Arsoli;13/03/2019;-;-
Arsoli;14/03/2019;4;17,7
Arsoli;15/03/2019;2,6;21
Arsoli;16/03/2019;-0,3;15,7
Arsoli;17/03/2019;0,9;19,6
Arsoli;18/03/2019;1,4;17,9
Arsoli;19/03/2019;0;16,8
Arsoli;20/03/2019;7,3;17
Arsoli;21/03/2019;2;23,7
Arsoli;22/03/2019;1;24,4
Arsoli;23/03/2019;0;23,5
Arsoli;24/03/2019;0,3;23,8
Arsoli;25/03/2019;0,1;21,2
Arsoli;26/03/2019;2;19
Arsoli;27/03/2019;7,3;18,5
Arsoli;28/03/2019;5,9;19
Arsoli;29/03/2019;1,9;21,3
Arsoli;30/03/2019;-0,8;21,3
Arsoli;31/03/2019;1,1;22,6
Baccano;01/03/2019;6,5;13,9
Baccano;02/03/2019;1,8;22,9
Baccano;03/03/2019;1,6;21,3
Baccano;04/03/2019;0,5;16,5
Baccano;05/03/2019;3;13,4
Baccano;06/03/2019;-0,5;18,4
Baccano;07/03/2019;9,3;18,9
Baccano;08/03/2019;7,3;17,4
Baccano;09/03/2019;0,4;21,4
Baccano;10/03/2019;9,2;12,7
Baccano;11/03/2019;5,5;18,8
Baccano;12/03/2019;-0,7;16,2
Baccano;13/03/2019;-4,2;14,1
Baccano;14/03/2019;4;19
Baccano;15/03/2019;-0,1;21,5
Baccano;16/03/2019;5,1;16,9
Baccano;17/03/2019;3;17,6
Baccano;18/03/2019;8,2;14,6
Baccano;19/03/2019;3,7;17,2
Baccano;20/03/2019;5,4;19,2
Baccano;21/03/2019;5,9;24,8
Baccano;22/03/2019;7,6;25,5
Baccano;23/03/2019;5,7;25,6
Baccano;24/03/2019;2,2;23,8
Baccano;25/03/2019;-1,3;17,8
Baccano;26/03/2019;0,4;14,2
Baccano;27/03/2019;6,2;21,5
Baccano;28/03/2019;4,4;21,2
Baccano;29/03/2019;5,5;23,3
Baccano;30/03/2019;1,9;22,7
Baccano;31/03/2019;-0,6;24,8
Bagnoregio;01/03/2019;6,7;11,8
Bagnoregio;02/03/2019;5,6;17,1
Bagnoregio;03/03/2019;5,1;17,9
Bagnoregio;04/03/2019;4,7;14,1
Bagnoregio;05/03/2019;6,9;13,9
Bagnoregio;06/03/2019;6,7;16,9
Bagnoregio;07/03/2019;6,8;18
Bagnoregio;08/03/2019;7,2;15,5
Bagnoregio;09/03/2019;6;16,2
Bagnoregio;10/03/2019;7,1;11,9
Bagnoregio;11/03/2019;2,6;15,7
Bagnoregio;12/03/2019;1,4;11,9
Bagnoregio;13/03/2019;2,7;11,2
Bagnoregio;14/03/2019;1,9;14,2
Bagnoregio;15/03/2019;4,3;16,8
Bagnoregio;16/03/2019;7;11,7
Bagnoregio;17/03/2019;6,2;14,1
Bagnoregio;18/03/2019;5,3;14,6
Bagnoregio;19/03/2019;3,1;11
Bagnoregio;20/03/2019;3;13,2
Bagnoregio;21/03/2019;3,7;18,2
Bagnoregio;22/03/2019;6,6;20,4
Bagnoregio;23/03/2019;8,1;22
Bagnoregio;24/03/2019;9,9;21,3
Bagnoregio;25/03/2019;6,4;18,9
Bagnoregio;26/03/2019;4,2;11,5
Bagnoregio;27/03/2019;4,1;15,9
Bagnoregio;28/03/2019;3,8;13,8
Bagnoregio;29/03/2019;4,4;17,8
Bagnoregio;30/03/2019;6,1;19,5
Bagnoregio;31/03/2019;7;21,2
Barbarano;01/03/2019;8,7;13,8
Barbarano;02/03/2019;6,8;17,9
Barbarano;03/03/2019;5,2;16,2
Barbarano;04/03/2019;5,1;14,5
Barbarano;05/03/2019;6,9;13,8
Barbarano;06/03/2019;6,4;17,4
Barbarano;07/03/2019;9,4;17,6
Barbarano;08/03/2019;8,6;16
Barbarano;09/03/2019;5,2;17
Barbarano;10/03/2019;9;13,3
Barbarano;11/03/2019;5,2;15
Barbarano;12/03/2019;3,2;12,6
Barbarano;13/03/2019;2,1;12,9
Barbarano;14/03/2019;4,1;14,5
Barbarano;15/03/2019;4,5;16,4
Barbarano;16/03/2019;8,6;13,8
Barbarano;17/03/2019;8,2;14,7
Barbarano;18/03/2019;8,3;14,3
Barbarano;19/03/2019;4,6;12,7
Barbarano;20/03/2019;4;15
Barbarano;21/03/2019;3,8;20,4
Barbarano;22/03/2019;5;20,3
Barbarano;23/03/2019;6,4;21
Barbarano;24/03/2019;8,2;20,4
Barbarano;25/03/2019;5,9;17,2
Barbarano;26/03/2019;7,1;13
Barbarano;27/03/2019;5,9;16
Barbarano;28/03/2019;4;14,9
Barbarano;29/03/2019;3,9;17,3
Barbarano;30/03/2019;4,5;17,3
Barbarano;31/03/2019;5,5;18,8
Bolsena;01/03/2019;6,6;12,6
Bolsena;02/03/2019;5;18,8
Bolsena;03/03/2019;3,6;18,9
Bolsena;04/03/2019;6,7;16
Bolsena;05/03/2019;3,7;14,9
Bolsena;06/03/2019;3,6;17,6
Bolsena;07/03/2019;5,8;18,3
Bolsena;08/03/2019;5,3;16,7
Bolsena;09/03/2019;2,7;17,7
Bolsena;10/03/2019;5;12,8
Bolsena;11/03/2019;4;17,2
Bolsena;12/03/2019;2;13
Bolsena;13/03/2019;0,7;13,1
Bolsena;14/03/2019;4,4;15,5
Bolsena;15/03/2019;2,5;17,9
Bolsena;16/03/2019;5,9;12,9
Bolsena;17/03/2019;7,4;14,3
Bolsena;18/03/2019;7,2;15,6
Bolsena;19/03/2019;5,1;11,7
Bolsena;20/03/2019;5,1;13,8
Bolsena;21/03/2019;6;17,9
Bolsena;22/03/2019;9,3;20,3
Bolsena;23/03/2019;8,1;21,8
Bolsena;24/03/2019;6,3;22,2
Bolsena;25/03/2019;4,1;19,4
Bolsena;26/03/2019;5,6;10,7
